Trial,NWalls,AreaRed,AreaGreen,AreaWalls,PropClear,IsQual
RTr_Bl2_18,2,35501,28800,28164,0.149137096774,0
RTr_Bl2_11,2,3657,45240,53740,0.165543548387,0
RTr_Bl2_10,2,70030,25212,119026,0.345593548387,0
RTr_Bl2_13,2,10878,11227,58440,0.129911290323,0
RTr_Bl2_12,2,80085,23616,34071,0.222212903226,0
RTr_Bl2_15,2,56760,82943,35293,0.282251612903,0
RTr_Bl2_14,2,40200,64347,64686,0.272956451613,0
RTr_Bl2_17,2,19625,47998,36365,0.167722580645,0
RTr_Bl2_16,2,39754,21736,33151,0.152646774194,0
RTr_Bl4_13,4,11060,9928,93559,0.184753225806,0
RTr_Bl4_12,4,24750,29224,159827,0.344840322581,0
RTr_Bl4_11,4,15045,21736,59082,0.154617741935,0
RTr_Bl4_10,4,45390,29394,79434,0.248738709677,0
RTr_Bl4_17,4,40734,59772,104840,0.331203225806,0
RTr_Bl4_16,4,19710,29646,150498,0.32234516129,0
RTr_Bl4_15,4,19964,30780,57317,0.174291935484,0
RTr_Bl4_14,4,23920,6630,93654,0.200329032258,0
RTr_Bl4_18,4,15738,74520,119137,0.337733870968,0
RTr_Bl5_2,5,32399,13689,138708,0.298058064516,0
RTr_Bl5_3,5,12483,25920,148520,0.301488709677,0
RTr_Bl5_0,5,15120,32802,100567,0.239498387097,0
RTr_Bl5_1,5,31097,39480,125751,0.316658064516,0
RTr_Bl5_6,5,66738,44506,67576,0.288419354839,0
RTr_Bl5_7,5,5247,16592,101714,0.199279032258,0
RTr_Bl5_4,5,18624,50808,133189,0.326808064516,0
RTr_Bl5_5,5,29726,16330,86729,0.214169354839,0
RTr_Bl5_8,5,38190,8282,82414,0.207880645161,0
RTr_Bl5_9,5,5355,13514,156933,0.283551612903,0
RTr_Bl3_0,3,31496,40425,116198,0.303417741935,0
RTr_Bl3_1,3,39360,6314,52343,0.158091935484,0
RTr_Bl3_2,3,18676,30576,66719,0.18705,0
RTr_Bl3_3,3,41850,40239,48396,0.210459677419,0
RTr_Bl3_4,3,27795,26724,76540,0.211385483871,0
RTr_Bl3_5,3,10890,3922,38350,0.0857451612903,0
RTr_Bl3_6,3,49062,42504,33191,0.201220967742,0
RTr_Bl3_7,3,27244,43078,47650,0.190277419355,0
RTr_Bl3_8,3,53924,12580,142227,0.336662903226,0
RTr_Bl3_9,3,55002,5320,49098,0.176483870968,0
RTr_Bl1_8,1,15162,6549,4260,0.0418887096774,0
RTr_Bl1_9,1,44807,20384,44896,0.177559677419,0
RTr_Bl1_6,1,13530,32058,30960,0.123464516129,0
RTr_Bl1_7,1,19620,16092,48380,0.135632258065,0
RTr_Bl1_4,1,9135,15853,12595,0.0606177419355,0
RTr_Bl1_5,1,11920,10080,6956,0.0467032258065,0
RTr_Bl1_2,1,19035,53676,12152,0.136875806452,0
RTr_Bl1_3,1,34138,21390,17556,0.117877419355,0
RTr_Bl1_0,1,11664,3922,15700,0.0504612903226,0
RTr_Bl1_1,1,42175,4576,3782,0.0815048387097,0
QTr1,5,7968,28608,70925,0.173388709677,1
QTr3,4,19292,17664,56770,0.151170967742,1
QTr2,6,10795,8384,270161,0.466677419355,1
QTr5,7,4872,4020,127961,0.220730645161,1
QTr4,11,9288,8480,148049,0.267446774194,1
RTr_Bl5_17,5,14678,9686,104469,0.20779516129,0
RTr_Bl3_12,3,9408,52459,69728,0.21225,0
RTr_Bl3_13,3,12430,67976,33316,0.183422580645,0
RTr_Bl3_10,3,6328,45105,78323,0.209283870968,0
RTr_Bl3_11,3,26505,12100,67931,0.171832258065,0
RTr_Bl3_16,3,40950,15376,64484,0.19485483871,0
RTr_Bl3_17,3,16448,15975,106496,0.224062903226,0
RTr_Bl3_14,3,39072,31175,59833,0.209806451613,0
RTr_Bl3_15,3,36630,23256,48962,0.175561290323,0
RTr_Bl3_18,3,13600,11500,127109,0.245498387097,0
RTr_Bl1_10,1,14448,14755,5130,0.0553758064516,0
RTr_Bl1_11,1,36176,20739,19080,0.122572580645,0
RTr_Bl1_12,1,60024,13284,59262,0.213822580645,0
RTr_Bl5_14,5,41808,10800,119889,0.278220967742,0
RTr_Bl5_15,5,5427,10710,138836,0.249956451613,0
RTr_Bl5_16,5,37856,49175,67617,0.249432258065,0
RTr_Bl1_13,1,30000,6102,57936,0.151674193548,0
RTr_Bl5_10,5,28866,24408,97882,0.2438,0
RTr_Bl5_11,5,28188,16058,126643,0.275627419355,0
RTr_Bl5_12,5,35464,26520,90152,0.245380645161,0
RTr_Bl5_13,5,25573,34104,90081,0.24154516129,0
RTr_Bl1_14,1,49181,12255,30520,0.148316129032,0
RTr_Bl5_18,5,21962,12420,73505,0.174011290323,0
RTr_Bl1_15,1,16994,5460,5967,0.0458403225806,0
RTr_Bl1_16,1,53658,33540,4270,0.147529032258,0
RTr_Bl1_17,1,52664,15458,11373,0.128217741935,0
RTr_Bl1_18,1,44935,11664,11554,0.109924193548,0
RTr_Bl4_9,4,15470,44785,100084,0.258611290323,0
RTr_Bl4_8,4,49087,10360,133968,0.311959677419,0
RTr_Bl4_3,4,11229,19758,112907,0.232087096774,0
RTr_Bl4_2,4,40655,38868,143137,0.359129032258,0
RTr_Bl4_1,4,29524,10149,104745,0.232932258065,0
RTr_Bl4_0,4,42330,71599,39783,0.247922580645,0
RTr_Bl4_7,4,34410,15450,96015,0.235282258065,0
RTr_Bl4_6,4,72731,20740,76351,0.273906451613,0
RTr_Bl4_5,4,54050,40800,71841,0.268856451613,0
RTr_Bl4_4,4,12595,19044,50229,0.13204516129,0
RTr_Bl2_9,2,16016,30281,49668,0.154782258065,0
RTr_Bl2_8,2,75218,21120,71545,0.270779032258,0
RTr_Bl2_1,2,33638,19100,56113,0.175566129032,0
RTr_Bl2_0,2,12222,18297,88401,0.191806451613,0
RTr_Bl2_3,2,42405,15750,102216,0.258662903226,0
RTr_Bl2_2,2,52877,14400,27036,0.152117741935,0
RTr_Bl2_5,2,19474,20488,50740,0.146293548387,0
RTr_Bl2_4,2,24955,21204,40693,0.140083870968,0
RTr_Bl2_7,2,22230,31473,52101,0.170651612903,0
RTr_Bl2_6,2,31603,23814,66320,0.19635,0
